[(0, 1),
 (0, 2),
 (0, 4),
 (1, 5),
 (3, 6),
 (5, 10),
 (5, 7),
 (7, 8),
 (7, 9),
 (8, 11),
 (9, 12),
 (11, 19),
 (11, 13),
 (12, 17),
 (14, 16),
 (14, 15),
 (15, 22),
 (16, 18),
 (16, 20),
 (16, 22),
 (18, 21),
 (21, 24),
 (22, 27),
 (22, 23),
 (23, 25),
 (24, 25),
 (25, 29),
 (26, 32),
 (26, 28),
 (28, 34),
 (28, 30),
 (30, 31),
 (31, 33),
 (32, 37),
 (34, 36),
 (35, 39),
 (36, 38),
 (38, 40),
 (39, 41),
 (40, 42),
 (40, 43),
 (40, 45),
 (41, 46),
 (42, 44),
 (43, 47),
 (44, 48),
 (45, 48),
 (48, 49)]
