[(0, 1),
 (0, 9),
 (0, 4),
 (0, 5),
 (0, 7),
 (1, 4),
 (1, 5),
 (1, 7),
 (5, 10),
 (7, 12),
 (8, 16),
 (8, 11),
 (10, 20),
 (10, 14),
 (11, 16),
 (14, 17),
 (14, 15),
 (15, 19),
 (16, 22),
 (16, 23),
 (17, 25),
 (18, 24),
 (18, 26),
 (18, 28),
 (18, 21),
 (19, 25),
 (21, 24),
 (21, 26),
 (21, 28),
 (22, 23),
 (23, 33),
 (23, 29),
 (24, 26),
 (24, 28),
 (24, 34),
 (25, 32),
 (25, 28),
 (25, 31),
 (26, 27),
 (26, 28),
 (27, 32),
 (28, 34),
 (28, 36),
 (28, 37),
 (28, 30),
 (29, 33),
 (29, 35),
 (30, 34),
 (30, 37),
 (31, 32),
 (33, 35),
 (34, 37),
 (38, 40),
 (38, 41),
 (38, 42),
 (38, 43),
 (39, 45),
 (40, 44),
 (41, 42),
 (44, 48),
 (46, 49),
 (46, 47),
 (47, 49)]
