[(0, 7),
 (1, 5),
 (2, 4),
 (3, 8),
 (3, 9),
 (3, 6),
 (7, 17),
 (8, 15),
 (9, 15),
 (10, 11),
 (11, 12),
 (11, 13),
 (12, 13),
 (13, 14),
 (14, 16),
 (17, 26),
 (17, 19),
 (18, 20),
 (18, 21),
 (18, 22),
 (18, 23),
 (20, 21),
 (23, 24),
 (23, 25),
 (24, 25),
 (26, 27),
 (27, 28),
 (28, 29),
 (29, 32),
 (29, 33),
 (29, 30),
 (29, 31),
 (32, 41),
 (32, 36),
 (33, 34),
 (33, 35),
 (34, 44),
 (35, 37),
 (36, 38),
 (38, 43),
 (40, 45),
 (41, 42),
 (43, 44),
 (43, 46),
 (43, 47),
 (47, 49),
 (48, 49)]
