[(0, 1),
 (0, 2),
 (3, 4),
 (3, 5),
 (4, 5),
 (4, 6),
 (5, 6),
 (5, 7),
 (6, 8),
 (6, 7),
 (7, 8),
 (7, 9),
 (8, 9),
 (8, 10),
 (11, 12),
 (11, 13),
 (11, 14),
 (12, 13),
 (12, 14),
 (12, 15),
 (14, 16),
 (14, 15),
 (15, 17),
 (16, 18),
 (16, 19),
 (17, 20),
 (18, 19),
 (19, 21),
 (20, 21),
 (20, 22),
 (21, 22),
 (22, 24),
 (22, 23),
 (23, 24),
 (24, 25),
 (25, 26),
 (26, 27),
 (27, 28),
 (28, 29),
 (28, 30),
 (29, 30),
 (29, 31),
 (31, 32),
 (31, 33),
 (32, 33),
 (32, 34),
 (33, 36),
 (35, 36),
 (36, 37),
 (37, 38),
 (38, 40),
 (38, 39),
 (39, 40),
 (39, 41),
 (40, 43),
 (41, 42),
 (41, 43),
 (42, 44),
 (43, 44),
 (44, 45),
 (46, 47),
 (47, 48),
 (48, 49)]
